diagnosis | icd,count
Arterielle Hypertonie | I10.90,397
Chronisches Müdigkeitssyndrom | G93.3,338
LWS-Syndrom | M54.86,297
Erschöpfungssyndrom | G93.3,287
HWS-Syndrom | M54.82,224
Schlafstörungen | G47.0,177
WS-Syndrom | M54.80,156
Spannungskopfschmerzen | G44.2,136
Fibromyalgie | M79.70,121
Hypothyreose | E03.8,106
Reizdarmsyndrom | K58.8,97
Nichtorganische Insomnie | F51.0,88
Hypothyreose | E03.9,86
Tinnitus aurium | H93.1,80
Kopfschmerzen | G44.2,72
Hashimoto Thyreoiditis | E06.3,71
Migräne | G43.0,68
Tinnitus aurium bds. | H93.1,65
Asthma bronchiale | J45.9,61
-Post-COVID-19-Syndrom | U09.9,57
Erschöpfung | G93.3,51
Ganzkörperschmerzen | M79.70,46
Ein- und Durchschlafstörungen | G47.0,38
Zervikobrachialgie | M53.1,36
Migräne | G43.9,36
Spannungskopfschmerz | G44.2,31
Polyneuropathie | G62.9,31
"Diabetes mellitus, Typ 2 | E11.90",29
Polyarthrose | M15.9,29
Migräne mit Aura | G43.1,27
Zervikobrachialsyndrom | M53.1,26
Schlafstörungen | G47.9,25
BWS-Syndrom | M54.84,25
Migräne ohne Aura | G43.0,20
Kopfschmerzen | R51,19
Hashimoto-Thyreoiditis | E06.3,19
Reizdarmsyndrom | K58.0,19
Knieschmerzen rechts | M25.56,18
Reizdarmsyndrom | K58.9,18
V.a. Reizdarmsyndrom | K58.8,17
Chronische Sinusitis | J32.9,17
Schwindel | R42,17
Erschöpfungssyndrom | T73.3,16
-V.a. Post-COVID-19-Syndrom | U09.9,15
Diabetes mellitus Typ 2 | E11.90,15
Obstruktives Schlafapnoesyndrom | G47.31,14
Schulterschmerzen rechts | M25.51,14
Knieschmerzen bds. | M17.9,14
Psoriasis vulgaris | L40.0,13
Zervikobrachial-Syndrom | M53.1,13
Polyarthralgien | M25.50,13
Schlafstörung | G47.9,13
Zervikocephales Syndrom | M53.0,13
Zervikobrachialgien | M53.1,12
Schulterschmerzen links | M25.51,12
Zervikozephalessyndrom | M53.0,12
Polymyalgia rheumatica | M35.3,12
Fibromyalgiesyndrom | M79.70,12
Schlafstörung | G47.0,12
Arterielle Hypertonie | I10.00,12
Knieschmerzen bds. | M25.56,11
Tinnitus aurium links | H93.1,11
Fibromyalgie Syndrom | M79.70,11
Zervikozephales Syndrom | M53.0,11
Migräne | G43.1,10
WS-Syndrom | M54.90,10
Magen-Darm-Beschwerden | K58.8,9
Hypercholesterinämie | E78.0,9
Magen-Darmbeschwerden | K58.8,8
Tinnitus bds. | H93.1,8
Restless-Legs-Syndrom | G25.81,8
Durchschlafstörungen | G47.0,8
Degeneratives WS-Syndrom | M54.80,8
Obstruktives Schlafapnoe-Syndrom | G47.31,8
Fibromyalgie-Syndrom | M79.70,8
Autoimmunthyreoiditis | E06.3,8
Chronische Gastritis | K29.5,8
Tinnitus aurium rechts | H93.1,8
Gastroösophageale Refluxkrankheit | K21.9,7
Neurodermitis | L20.9,7
Diabetes mellitus Typ II | E11.90,7
Post-COVID-19-Syndrom | U09.9,7
Infektanfälligkeit | Z86.1,7
Fingerpolyarthrose | M15.9,7
Kopfschmerzen | R52,7
Lumbalsyndrom | M54.86,7
Rhizarthrose bds. | M18.9,7
Paroxysmales Vorhofflimmern | I48.0,7
Osteoporose | M81.99,7
Knieschmerzen links | M25.56,7
HWS- und BWS-Syndrom | M54.80,6
Tinnitus aurium | H93.3,6
Chronisches LWS-Syndrom | M54.86,6
Polyarthralgie | M25.50,6
Knieschmerzen | M25.56,6
Adipositas | E66.01,6
Hyperurikämie | E79.0,6
Hyperlipidämie | E78.5,5
Asthma bronchiale | J45.0,5
"COVID-19-Impfstoffen, nicht näher bezeichnet | U12.9",5
Obstipation | K59.0,5
Asthma bronchiale | J45.90,5
Allergisches Asthma bronchiale | J45.0,5
HWS-Syndrom | M54.80,5
LWS-Syndrom | M54.80,5
Endometriose | N80.9,5
"Hypothyreose, substituiert | E03.9",5
Schulterschmerzen rechts | M79.61,5
Wirbelsäulensyndrom | M54.80,5
Rhizarthrose | M18.9,5
Chron. Kopfschmerzen | R51,5
HWS-Syndrom | M53.1,5
Asthma bronchiale | J45.99,5
Erschöpfung | T73.3,5
Chron. Kopfschmerzen | G44.2,5
Polyarthralgien | M15.9,5
Glaukom bds. | H40.9,5
Hyperhidrose | R61.9,5
Restless-legs-Syndrom | G25.81,5
Chronisches Erschöpfungssyndrom | G93.3,5
Ventrikuläre Extrasystolie | I49.3,5
- V.a. Post-COVID-19-Syndrom | U09.9,5
Verdauungsbeschwerden | K58.8,4
Chronisches Schmerzsyndrom | R52.2,4
Rhizarthrose bds. | M18.0,4
Nichtorganische Insomnie (Durchschlafstörungen) | F51.0,4
Gesichtsschmerzen rechts | G50.1,4
Müdigkeitssyndrom | G93.3,4
Knieschmerzen rechts | M25.5,4
Zervikobrachialgie rechts | M53.1,4
Chronische Obstipation | K59.09,4
Trigeminusneuralgie rechts | G50.0,4
LWS/ISG-Syndrom | M54.87,4
Atypischer Gesichtsschmerz | G50.1,4
Psoriasis Arthritis | L40.5,4
Laktoseintoleranz | E73.9,4
Knieschmerzen rechts | M79.66,4
Chronic Fatique Syndrom | G93.3,4
Fruktoseintoleranz | E74.1,4
Knieschmerzen bds. | M17.0,4
Fußschmerzen bds. | M79.67,4
Chronisches HWS-Syndrom | M54.82,4
Polyneuropathie | G60.8,4
Polyarthrose der Finger- und Handgelenke | M15.9,4
Adipositas | E66.99,4
Hüfteschmerzen links | M25.55,4
Myofasziales Schmerzsyndrom | M79.19,4
Allergische Rhinopathie | J30.4,4
Chronisches Müdigkeitssyndrom | G93.0,4
Trigeminusneuralgie | G50.0,4
Fingergelenksarthrose | M15.9,4
Rhizarthrose bds. | M18.1,4
Gesichtsschmerzen | G50.1,4
Knieschmerzen rechts | M17.9,4
Chronische Kopfschmerzen | R51,4
Vorwiegend allergisches Asthma bronchiale | J45.0,3
Zervikobrachialsyndrom | M54.82,3
WS-Syndrom | M54.86,3
Neurodermitis | L20.8,3
Rhizarthrose links | M18.0,3
Atopisches endogenes Ekzem | L20.9,3
Schulterschmerzen bds. | M25.51,3
Hashimoto Thyroiditis | E06.3,3
V.a. Post-COVID-19-Syndrom | U09.9,3
Prämenstruelles Syndrom (PMS) | N94.3,3
bei Polyneuropathie | M79.20,3
Rhizarthrose | M18.0,3
Zervikobrachial Syndrom | M53.1,3
Allergische Rhinopathie durch Pollen und Katzenhaare | J30.1,3
Coxarthrose bds. | M16.9,3
Cluster-Kopfschmerz rechts | G44.0,3
Chronische Kopfschmerzen | G44.2,3
Degeneratives HWS-Syndrom | M54.82,3
Chronische Pansinusitis | J32.4,3
- Z. n. Läsionen der Rotatorenmanschette rechts 15.08.2021 | M75.1,3
Gemischte Hyperlipidämie | E78.2,3
Lumbalsyndrom bei degenerativen Veränderungen der LWS | M54.86,3
"Colitis ulcerosa, ED 2008 | K51.9",3
Schulterschmerzen rechts | M25.5,3
ISG-Syndrom | M54.87,3
WS Syndrom | M54.80,3
Coxarthrose links | M16.9,3
Chronisches Wirbelsäulensyndrom | M54.80,3
Postmenopausale Osteoporose | M81.09,3
Reizdarmsyndrom | K58.1,3
Chron. Müdigkeitssyndrom | G93.3,3
Erschöpfunssyndrom | G93.3,3
Knieschmerzen links | M17.9,3
Schlafstörungen | G47.8,3
Osteoporose | M81.90,3
Schulterschmerzen bds. | M79.61,3
HWS/BWS-Syndrom | M54.80,3
Lumbosakraler Rückenschmerz | M54.87,3
Interstitielle Zystitis (chronisch) | N30.1,3
Raynaud-Syndrom | I73.0,3
Knieschmerzen links | M79.66,3
"Vorhofflimmern, paroxysmal | I48.0",3
Morbus Crohn mit rezidivierenden Fistelungen und Abszedierungen | K50.9,3
Malabsorption nach chirurgischem Eingriff | K91.2,3
"Kurzdarmsyndrom, heimparenterale Ernährung | K91.2",3
Chronisch degeneratives LWS-Syndrom | M54.86,3
Osteoporose | M80.88,3
Polyneuropathie | G62.88,3
Chronischer Spannungskopfschmerz | G44.2,3
Obstruktives Schlafapnoe Syndrom | G47.31,3
"Hypothyreose, substituiert | E03.8",3
Lymphödem beider Beine | I89.09,3
Reizdarmsyndrom | K59.9,3
Fußschmerzen rechts | M79.67,3
Rhizarthrose links | M18.9,3
LWS-Syndrom | M54.87,3
Chron. Erschöpfungssymptomatik | G93.3,3
Erschöpfungssyndrom | G93.0,3
Restless-Legs-Syndrom | G25.8,3
HWS-Syndrom | M54.86,3
Chronische Migräne | G43.0,3
Rezidiv. Kopfschmerzen | G44.2,3
LWS-Syndrom | M54.96,3
Polyneuropathie | G60.9,3
Chronisch rezidivierende Sinusitis | J32.9,3
"Seropositive Rheumatoide Arthritis, ED 10/2018 | M06.90",3
Schwankschwindel | R42,3
Handgelenkschmerzen bds. | M25.53,3
RCS Makuladegeneration | H35.38,3
Atopisches Ekzem | L20.9,3
Lungenfibrose | J84.1,3
Gastroösophageale Refluxkrankheit mit Ösophagitis | K21.0,3
"Psoriasisarthritis, ED 2017 L40.5, | M07.00",2
"Psoriasis vulgaris, ED 2003 | L40.0",2
Rückenschmerzen mehrerer Lokalisationen der Wirbelsäule | M54.90,2
"Morbus Crohn, ED 2000 | K50.9",2
Belastungsabhängige Schmerzen beider Kniegelenke | M25.56,2
Periphere Fazialisparese links | G51.0,2
Small Fiber Polyneuropathie | G60.8,2
Hüfteschmerzen bds. | M16.2,2
Mischform des Asthma bronchiale | J45.8,2
Lumboischialgie | M54.4,2
Essentieller Tremor | G25.0,2
Reizblase | N32.8,2
Allergisches Asthma bronchiale | J45.00,2
