diagnosis,count
arterielle hypertonie,411
chronisches müdigkeitssyndrom,346
lws-syndrom,319
erschöpfungssyndrom,308
hws-syndrom,239
schlafstörungen,208
hypothyreose,197
ws-syndrom,175
reizdarmsyndrom,149
spannungskopfschmerzen,138
fibromyalgie,123
migräne,118
kopfschmerzen,104
nichtorganische insomnie,89
tinnitus aurium,87
asthma bronchiale,81
hashimoto thyreoiditis,76
tinnitus aurium bds.,68
-post-covid-19-syndrom,57
erschöpfung,56
ganzkörperschmerzen,54
polyneuropathie,41
ein- und durchschlafstörungen,39
zervikobrachialgie,38
knieschmerzen bds.,37
"diabetes mellitus, typ 2",33
knieschmerzen rechts,33
polyarthrose,32
spannungskopfschmerz,31
bws-syndrom,30
migräne mit aura,30
zervikobrachialsyndrom,29
schlafstörung,25
schulterschmerzen rechts,24
migräne ohne aura,22
v.a. reizdarmsyndrom,21
hashimoto-thyreoiditis,21
osteoporose,21
knieschmerzen links,19
chronische sinusitis,19
obstruktives schlafapnoesyndrom,18
polyarthralgien,18
schwindel,18
schulterschmerzen links,17
psoriasis vulgaris,17
adipositas,17
diabetes mellitus typ 2,17
zervikozephalessyndrom,16
restless-legs-syndrom,16
zervikocephales syndrom,16
-v.a. post-covid-19-syndrom,15
rhizarthrose bds.,15
zervikobrachial-syndrom,13
zervikobrachialgien,12
tinnitus aurium links,12
polymyalgia rheumatica,12
fibromyalgiesyndrom,12
neurodermitis,11
fibromyalgie syndrom,11
knieschmerzen,11
zervikozephales syndrom,11
hypercholesterinämie,10
chron. kopfschmerzen,10
magen-darmbeschwerden,9
magen-darm-beschwerden,9
durchschlafstörungen,9
paroxysmales vorhofflimmern,9
fibromyalgie-syndrom,9
chronische gastritis,9
tinnitus aurium rechts,9
allergisches asthma bronchiale,8
infektanfälligkeit,8
schulterschmerzen bds.,8
tinnitus bds.,8
rhizarthrose,8
degeneratives ws-syndrom,8
obstruktives schlafapnoe-syndrom,8
"hypothyreose, substituiert",8
autoimmunthyreoiditis,8
hüfteschmerzen links,8
gastroösophageale refluxkrankheit,7
diabetes mellitus typ ii,7
obstipation,7
post-covid-19-syndrom,7
hws- und bws-syndrom,7
rhizarthrose links,7
fingerpolyarthrose,7
chronisches lws-syndrom,7
polyarthralgie,7
chronische kopfschmerzen,7
lumbalsyndrom,7
isg-syndrom,7
verdauungsbeschwerden,6
hyperlipidämie,6
chronisches schmerzsyndrom,6
endometriose,6
chronische bronchitis,6
lws/isg-syndrom,6
psoriasis arthritis,6
chronische migräne,6
fußschmerzen bds.,6
hyperurikämie,6
myofasziales schmerzsyndrom,6
"covid-19-impfstoffen, nicht näher bezeichnet",5
allergische rhinopathie,5
migräneartige kopfschmerzen,5
wirbelsäulensyndrom,5
chronic fatique syndrom,5
glaukom bds.,5
hyperhidrose,5
chronisches erschöpfungssyndrom,5
ventrikuläre extrasystolie,5
- v.a. post-covid-19-syndrom,5
vorwiegend allergisches asthma bronchiale,4
hüfteschmerzen bds.,4
nichtorganische insomnie (durchschlafstörungen),4
gesichtsschmerzen rechts,4
müdigkeitssyndrom,4
mischformen des asthma bronchiale,4
zervikobrachialgie rechts,4
chronische obstipation,4
trigeminusneuralgie rechts,4
chronische pansinusitis,4
atypischer gesichtsschmerz,4
laktoseintoleranz,4
fruktoseintoleranz,4
chronisches hws-syndrom,4
polyarthrose der finger- und handgelenke,4
fußschmerzen rechts,4
trigeminusneuralgie,4
fingergelenksarthrose,4
gesichtsschmerzen,4
"seropositive rheumatoide arthritis, ed 10/2018",4
atopisches ekzem,4
handgelenkschmerzen bds.,4
chronischer husten,3
small fiber polyneuropathie,3
mischform des asthma bronchiale,3
lumboischialgie,3
lichen ruber planus,3
atopisches endogenes ekzem,3
hüfteschmerzen rechts,3
hashimoto thyroiditis,3
v.a. post-covid-19-syndrom,3
prämenstruelles syndrom (pms),3
