term,document_count,percent,status,ziel_cluster,kommentar
ausgeprägtes erschöpfungsgefühl,10,1.7,,,
bronchitis,10,1.7,,,
dorsalgien allen abschnitten,10,1.7,NOISE_SUSPECT,,
dorsalgien fast allen abschnitten,10,1.7,NOISE_SUSPECT,,
erschöpfungssyndrom,10,1.7,,,
genug erholsam durchschlafstörungen,10,1.7,NOISE_SUSPECT,,
hohes pfeifen tinnitus,10,1.7,,,
jahren chronischen dorsalgien allen,10,1.7,NOISE_SUSPECT,,
kopfschmerzarten,10,1.7,,,
legs syndrom,10,1.7,,,
rheumatica,10,1.7,,,
sehstörungen,10,1.7,,,
zurückhaltend geworden konzentrationsstörungen,10,1.7,NOISE_SUSPECT,,
einer fibromyalgie gestellt,9,1.5,,,
erholsam durchschlafstörungen gestört,9,1.5,NOISE_SUSPECT,,
gedächtnisstörungen,9,1.5,,,
impingement,9,1.5,,,
jahren dorsalgien bereich ausstrahlung,9,1.5,NOISE_SUSPECT,,
jahren erschöpfungssymptomen,9,1.5,,,
kopfschmerzen spannungstyp,9,1.5,,,
kopfschmerzen treten,9,1.5,NOISE_SUSPECT,,
können konzentrations merkfähigkeitsstörungen,9,1.5,NOISE_SUSPECT,,
merkfähigkeitsstörungen stimmung,9,1.5,,,
migräne aura,9,1.5,,,
polymyalgia,9,1.5,,,
rauschen tinnitus,9,1.5,,,
schlaf allem durchschlafstörungen,9,1.5,NOISE_SUSPECT,,
schlaf durchschlafstörungen beeinträchtigt,9,1.5,NOISE_SUSPECT,,
tinnitus aurium rechts,9,1.5,,,
zervikobrachialgien schmerzen,9,1.5,,,
zervikobrachialgien symptomatik,9,1.5,,,
chronischen dorsalgien bereich,8,1.4,,,
colitis,8,1.4,,,
diabetes,8,1.4,,,
erschöpfungsgefühl belastungsgrenze,8,1.4,,,
hypertonie,8,1.4,,,
jahr erschöpfungssymptomatik,8,1.4,,,
jahren erschöpfungssymptomatik,8,1.4,,,
jahren migräne,8,1.4,,,
jahren tinnitus aurium beidseits,8,1.4,NOISE_SUSPECT,,
konzentrationsstörungen schlaf,8,1.4,,,
kopfschmerz,8,1.4,,,
lumbalgien,8,1.4,,,
meistens durchschlafstörungen,8,1.4,NOISE_SUSPECT,,
merkfähigkeitsstörungen schnell,8,1.4,NOISE_SUSPECT,,
rheumatologischen,8,1.4,,,
seelisch schlaf durchschlafstörungen,8,1.4,,,
skoliose,8,1.4,,,
spondylarthrose,8,1.4,,,
beschwerden verdauungsstörungen,7,1.2,,,
brainfog konzentrationsstörungen,7,1.2,,,
chronischen müdigkeitssyndrom,7,1.2,,,
coxarthrose,7,1.2,,,
depressionen behaftet,7,1.2,,,
einschlafstörungen gestört,7,1.2,NOISE_SUSPECT,,
entwickelt depressionen,7,1.2,,,
erheblich durchschlafstörungen,7,1.2,,,
erreicht konzentrationsstörungen,7,1.2,,,
erschöpfungssymptomatik gefühl,7,1.2,,,
erschöpfungssymptomatik hier,7,1.2,,,
gastritis,7,1.2,,,
gefühlsstörungen,7,1.2,,,
koxarthrose,7,1.2,,,
merkfähigkeitsstörungen schlaf allem,7,1.2,NOISE_SUSPECT,,
migräne tage,7,1.2,,,
neurodermitis,7,1.2,,,
polyarthrose,7,1.2,,,
psoriasis arthritis,7,1.2,,,
rheumatoide,7,1.2,,,
rheumatologen,7,1.2,,,
schlaf einschlafstörungen,7,1.2,,,
verlangsamung merkfähigkeitsstörungen,7,1.2,,,
arthritis allem,6,1.0,NOISE_SUSPECT,,
beschwerden chronischen dorsalgien,6,1.0,,,
beschwerden jahren chronischen dorsalgien,6,1.0,NOISE_SUSPECT,,
borreliose,6,1.0,,,
charakter pfeifen tinnitus,6,1.0,,,
chronisches syndrom,6,1.0,,,
degeneratives syndrom,6,1.0,,,
dorsalgien bereich ausstrahlung beinen,6,1.0,NOISE_SUSPECT,,
einer arthrose,6,1.0,,,
einer psoriasis,6,1.0,,,
jahren morbus,6,1.0,,,
migräneattacke,6,1.0,,,
morbus crohn,6,1.0,,,
müdigkeitssyndroms,6,1.0,,,
neuropathie,6,1.0,,,
parese,6,1.0,,,
rahmen einer fibromyalgie,6,1.0,,,
reizdarmsyndrom vermutet energie,6,1.0,,,
reizdarmsyndroms,6,1.0,,,
rheumatische,6,1.0,,,
rheumatologische,6,1.0,,,
sinusitis,6,1.0,,,
störung,6,1.0,,,
tinnitus aurium links,6,1.0,,,
tinnitus unterschiedlicher,6,1.0,,,
tinnitus vorhanden,6,1.0,,,
völliger erschöpfung,6,1.0,,,
zehn jahren dorsalgien,6,1.0,,,
anfang zervikobrachialgien,5,0.8,,,
anhaltenden zervikobrachialgien,5,0.8,,,
aufnahme erschöpfungszustand,5,0.8,,,
beidseitigen tinnitus,5,0.8,,,
dermatitis,5,0.8,,,
diagnosen,5,0.8,,,
dorsalgien allen etagen,5,0.8,NOISE_SUSPECT,,
dorsalgien bereich handle,5,0.8,,,
endometriose,5,0.8,,,
erschöpfung geführt,5,0.8,,,
erschöpfungssymptomatik symptomatik,5,0.8,,,
erschöpfungssymptomen ursächlich,5,0.8,,,
gefühl erschöpfung,5,0.8,,,
gürtelrose,5,0.8,,,
intermittierenden dorsalgien,5,0.8,,,
jungend migräneanfällen,5,0.8,,,
lumbalsyndrom,5,0.8,,,
migräneanfällen migräne,5,0.8,,,
müdigkeitssyndrom chronische,5,0.8,,,
pfeifton tinnitus,5,0.8,,,
schleichend zunehmende erschöpfungssymptomatik,5,0.8,NOISE_SUSPECT,,
sjögren syndrom,5,0.8,,,
tinnitus aurium beidseitig,5,0.8,,,
tinnitus aurium charakter hohes,5,0.8,NOISE_SUSPECT,,
treten migräneanfälle,5,0.8,NOISE_SUSPECT,,
verdachtsdiagnose,5,0.8,,,
vielen jahren zunehmende erschöpfungssymptomatik,5,0.8,NOISE_SUSPECT,,
zervikobrachialgien verbunden,5,0.8,,,
zwanzig jahren dorsalgien,5,0.8,,,
arthrose diagnostiziert,4,0.7,,,
arthrose finger,4,0.7,,,
aufnahmegespräch jahren zunehmende erschöpfungssymptomatik,4,0.7,NOISE_SUSPECT,,
ausgeprägte erschöpfungssymptomatik,4,0.7,,,
bestehende dorsalgien,4,0.7,,,
bestehenden tinnitus,4,0.7,,,
bursitis,4,0.7,,,
chronischem müdigkeitssyndrom,4,0.7,,,
dorsalgien bereich ausstrahlung rechte,4,0.7,NOISE_SUSPECT,,
dorsalgien bereich jahren,4,0.7,,,
dorsalgien bereich nacken,4,0.7,,,
einer erschöpfungssymptomatik,4,0.7,,,
einer migräne,4,0.7,,,
epicondylitis,4,0.7,,,
erschöpfung verminderter,4,0.7,,,
