term,document_count,percent
erschöpfungsgefühl schlappheit lustlosigkeit,2,0.3
winter kurzgefasst hätte diagnose,2,0.3
hätte diagnose,2,0.3
schlaf schlafstörungen,2,0.3
migräneattacken zwei,2,0.3
kopfschmerzen beschreibt migräneattacken,2,0.3
beschreibt migräneattacken,2,0.3
spannungskopfschmerzen halswirbelsäulenproblematik,2,0.3
beschwerdebild stellen kopfschmerzen zwei,2,0.3
stellen kopfschmerzen,2,0.3
spannungskopfschmerzen halswirbelsäulenproblematik zusammenhang,2,0.3
einen spannungskopfschmerzen,2,0.3
beschreibt migräneattacken zwei dreimal,2,0.3
betrage tage begleitet migräne,2,0.3
formen auftreten einen spannungskopfschmerzen,2,0.3
migräneattacken zwei dreimal monatlich,2,0.3
gelenke anstoß schmerzempfindlich fingerpolyarthrose,2,0.3
therapie ostechondrose syrinx bereich,2,0.3
ostechondrose syrinx bereich,2,0.3
rhizarthrose links therapieresistente pollenallergie,2,0.3
ostechondrose syrinx bereich weitere,2,0.3
ostechondrose syrinx,2,0.3
manuelle therapie ostechondrose,2,0.3
therapie ostechondrose,2,0.3
manuelle therapie ostechondrose syrinx,2,0.3
wärme manuelle therapie ostechondrose,2,0.3
hyperkyphose,2,0.3
hinaus sein schlaf durchschlafstörungen,2,0.3
vielen jahren zunehmende polyneuropathie,2,0.3
zunehmende polyneuropathie,2,0.3
jahren zunehmende polyneuropathie,2,0.3
depressionen seinem,2,0.3
einschlafstörungen sinne eines,2,0.3
muster einschlafstörungen sinne,2,0.3
wechselhaftes muster einschlafstörungen sinne,2,0.3
muster einschlafstörungen,2,0.3
können konzentrations merkfähigkeitsstörungen hinsichtlich,2,0.3
tinnitus nahezu,2,0.3
konzentrations merkfähigkeitsstörungen hinsichtlich schlafes,2,0.3
osteochondrosen,2,0.3
merkfähigkeitsstörungen hinsichtlich schlafes,2,0.3
sinne einer neurodermitis,2,0.3
wechselhaftes muster einschlafstörungen,2,0.3
muster einschlafstörungen sinne eines,2,0.3
einschlafstörungen sinne eines gedanklichen,2,0.3
schlafes wechselhaftes muster einschlafstörungen,2,0.3
chronischen multilokulären schmerzsyndrom rahmen,2,0.3
multilokulären schmerzsyndrom rahmen,2,0.3
erschöpfungsgefühl schlappheit lustlosigkeit starker,2,0.3
crohn zwölf darm,2,0.3
jeden zweiten depressionen seinem,2,0.3
crohn zwölf,2,0.3
hätte diagnose morbus crohn,2,0.3
jeden zweiten depressionen,2,0.3
morbus crohn zwölf darm,2,0.3
nutzt jeden zweiten depressionen,2,0.3
ausgeprägtes erschöpfungsgefühl schlappheit lustlosigkeit,2,0.3
kraftlosigkeit ausgeprägtes erschöpfungsgefühl schlappheit,2,0.3
starke kraftlosigkeit ausgeprägtes erschöpfungsgefühl,2,0.3
zweiten depressionen seinem,2,0.3
zweiten depressionen,2,0.3
kurzgefasst hätte diagnose,2,0.3
erschöpfungsgefühl schlappheit,2,0.3
einer reizdarmsymptomatik,2,0.3
konzentrations kurzeitgedächtnisstörungen sein schlaf,2,0.3
kurzeitgedächtnisstörungen sein schlaf,2,0.3
energieniveau konzentrations kurzeitgedächtnisstörungen,2,0.3
stimmung energieniveau konzentrations kurzeitgedächtnisstörungen,2,0.3
kurzeitgedächtnisstörungen sein,2,0.3
kurzeitgedächtnisstörungen sein schlaf einschlafstörungen,2,0.3
konzentrations kurzeitgedächtnisstörungen sein,2,0.3
jahr erschöpfungssymptomen ursächlich,2,0.3
jahr erschöpfungssymptomen ursächlich hierfür,2,0.3
konzentrationsstörungen berichtete,2,0.3
energieabhängig konzentrationsstörungen,2,0.3
konzentrationsstörungen berichtete borreliose,2,0.3
erheblich durchschlafstörungen gestört hinsichtlich,2,0.3
diagnose fibromyalgie gestellt jahren,2,0.3
einschlafstörungen sinne,2,0.3
merkfähigkeitsstörungen hinsichtlich schlafes wechselhaftes,2,0.3
energieabhängig konzentrationsstörungen berichtete,2,0.3
jahren borreliose gehabt,2,0.3
berichtete borreliose schubartigen,2,0.3
borreliose gehabt,2,0.3
jahren borreliose,2,0.3
borreliose schubartigen knieschmerzen beidseits,2,0.3
borreliose schubartigen knieschmerzen,2,0.3
konzentrationsstörungen berichtete borreliose schubartigen,2,0.3
borreliose schubartigen,2,0.3
berichtete borreliose schubartigen knieschmerzen,2,0.3
energieabhängig konzentrationsstörungen berichtete borreliose,2,0.3
berichtete borreliose,2,0.3
abgeschlagenheit schlaf durchschlafstörungen,2,0.3
abgeschlagenheit schlaf durchschlafstörungen gestört,2,0.3
erschöpfungszustand kraftlosigkeit,2,0.3
spannungskopfschmerzen zeit,2,0.3
patienten colitis ulcerosa befall,2,0.3
patienten colitis ulcerosa,2,0.3
colitis ulcerosa befall enddarms,2,0.3
colitis ulcerosa befall,2,0.3
eines vorbekannten reizdarmsyndroms,2,0.3
rahmen eines vorbekannten reizdarmsyndroms,2,0.3
vorbekannten reizdarmsyndroms,2,0.3
schlafstörungen konzentrations,2,0.3
rheumatologische abklärung wegweisenden hinweis,2,0.3
lumboischialgie,2,0.3
koxarthrose rechts,2,0.3
linderung wärme physiotherapie ostechondrose,2,0.3
physiotherapie ostechondrose,2,0.3
wärme physiotherapie ostechondrose,2,0.3
vielen jahren zervikobrachialgien,2,0.3
borreliose kopfschmerzen,2,0.3
sorgen polyneuropathie,2,0.3
polyneuropathie gehfähigkeit,2,0.3
sorgen polyneuropathie gehfähigkeit,2,0.3
polyneuropathie gehfähigkeit verliere,2,0.3
sorgen polyneuropathie gehfähigkeit verliere,2,0.3
zukunftsängste sorgen polyneuropathie,2,0.3
polyneuropathie gehfähigkeit verliere chronischen,2,0.3
