term,document_count,percent,examples
erschöpfungsgefühl schlappheit lustlosigkeit,2,0.3,
winter kurzgefasst hätte diagnose,2,0.3,
hätte diagnose,2,0.3,
schlaf schlafstörungen,2,0.3,
migräneattacken zwei,2,0.3,
kopfschmerzen beschreibt migräneattacken,2,0.3,
beschreibt migräneattacken,2,0.3,
spannungskopfschmerzen halswirbelsäulenproblematik,2,0.3,
beschwerdebild stellen kopfschmerzen zwei,2,0.3,
stellen kopfschmerzen,2,0.3,"Ein weiteres Beschwerdebild stellen Kopfschmerzen dar, die in zwei Formen auftreten."
spannungskopfschmerzen halswirbelsäulenproblematik zusammenhang,2,0.3,
einen spannungskopfschmerzen,2,0.3,
beschreibt migräneattacken zwei dreimal,2,0.3,
betrage tage begleitet migräne,2,0.3,
formen auftreten einen spannungskopfschmerzen,2,0.3,
migräneattacken zwei dreimal monatlich,2,0.3,
gelenke anstoß schmerzempfindlich fingerpolyarthrose,2,0.3,
therapie ostechondrose syrinx bereich,2,0.3,
ostechondrose syrinx bereich,2,0.3,
rhizarthrose links therapieresistente pollenallergie,2,0.3,
ostechondrose syrinx bereich weitere,2,0.3,
ostechondrose syrinx,2,0.3,
manuelle therapie ostechondrose,2,0.3,
therapie ostechondrose,2,0.3,
manuelle therapie ostechondrose syrinx,2,0.3,
wärme manuelle therapie ostechondrose,2,0.3,
hyperkyphose,2,0.3,"Hyperkyphose der BWS, Skoliose der LWS sowie fortgeschrittene degenerative BWS- und LWS-Veränderungen mit älterer Impressionsfraktur (nach Arbeitsunfall 2010). | Zudem leide er seit einem Jahr unter intermittierende ziehende Zervikobrachialgie bei Hyperkyphose der HWS."
hinaus sein schlaf durchschlafstörungen,2,0.3,
vielen jahren zunehmende polyneuropathie,2,0.3,
zunehmende polyneuropathie,2,0.3,"Kurzgefasst leide der Patient seit vielen Jahren unter zunehmende Polyneuropathie mit brennende sowie drückende Schmerzen in Füßen, Händen. | Kurzgefasst leide der Patient seit vielen Jahren unter zunehmende Polyneuropathie mit brennenden sowie drückenden Schmerzen in Füßen und Händen."
jahren zunehmende polyneuropathie,2,0.3,
depressionen seinem,2,0.3,
einschlafstörungen sinne eines,2,0.3,
muster einschlafstörungen sinne,2,0.3,
wechselhaftes muster einschlafstörungen sinne,2,0.3,
muster einschlafstörungen,2,0.3,
können konzentrations merkfähigkeitsstörungen hinsichtlich,2,0.3,
tinnitus nahezu,2,0.3,
konzentrations merkfähigkeitsstörungen hinsichtlich schlafes,2,0.3,
osteochondrosen,2,0.3,"Es liegen degenerative Veränderungen der LWS mit Bandscheibenprolaps L2/3, Spondylarthrose L5/S1 sowie Osteochondrosen L1/2 und L5/S1 vor. | Des Weiteren seien Osteochondrosen HWK 5-6 bekannt sowie seit 2011 ein Bandscheibenvorfall LWK 4/5 (Schmerzen vor ca."
merkfähigkeitsstörungen hinsichtlich schlafes,2,0.3,
sinne einer neurodermitis,2,0.3,Weitere behandlungsbedürftige Beschwerden bestehen seit der Jugend im Sinne einer Neurodermitis. | Zudem leide die Patientin seit ihrer Kindheit unter Hautveränderungen im Sinne einer Neurodermitis.
wechselhaftes muster einschlafstörungen,2,0.3,
muster einschlafstörungen sinne eines,2,0.3,
einschlafstörungen sinne eines gedanklichen,2,0.3,
schlafes wechselhaftes muster einschlafstörungen,2,0.3,
chronischen multilokulären schmerzsyndrom rahmen,2,0.3,
multilokulären schmerzsyndrom rahmen,2,0.3,
erschöpfungsgefühl schlappheit lustlosigkeit starker,2,0.3,
crohn zwölf darm,2,0.3,
jeden zweiten depressionen seinem,2,0.3,
crohn zwölf,2,0.3,
hätte diagnose morbus crohn,2,0.3,
jeden zweiten depressionen,2,0.3,
morbus crohn zwölf darm,2,0.3,
nutzt jeden zweiten depressionen,2,0.3,
ausgeprägtes erschöpfungsgefühl schlappheit lustlosigkeit,2,0.3,
kraftlosigkeit ausgeprägtes erschöpfungsgefühl schlappheit,2,0.3,
starke kraftlosigkeit ausgeprägtes erschöpfungsgefühl,2,0.3,
zweiten depressionen seinem,2,0.3,
zweiten depressionen,2,0.3,
kurzgefasst hätte diagnose,2,0.3,
erschöpfungsgefühl schlappheit,2,0.3,
einer reizdarmsymptomatik,2,0.3,Begleitet werden die Schmerzen von einer Reizdarmsymptomatik und gelegentlichen Angstattacken.
konzentrations kurzeitgedächtnisstörungen sein schlaf,2,0.3,
kurzeitgedächtnisstörungen sein schlaf,2,0.3,
energieniveau konzentrations kurzeitgedächtnisstörungen,2,0.3,
stimmung energieniveau konzentrations kurzeitgedächtnisstörungen,2,0.3,
kurzeitgedächtnisstörungen sein,2,0.3,
kurzeitgedächtnisstörungen sein schlaf einschlafstörungen,2,0.3,
konzentrations kurzeitgedächtnisstörungen sein,2,0.3,
jahr erschöpfungssymptomen ursächlich,2,0.3,
jahr erschöpfungssymptomen ursächlich hierfür,2,0.3,
konzentrationsstörungen berichtete,2,0.3,
energieabhängig konzentrationsstörungen,2,0.3,
konzentrationsstörungen berichtete borreliose,2,0.3,
erheblich durchschlafstörungen gestört hinsichtlich,2,0.3,
diagnose fibromyalgie gestellt jahren,2,0.3,
einschlafstörungen sinne,2,0.3,
merkfähigkeitsstörungen hinsichtlich schlafes wechselhaftes,2,0.3,
energieabhängig konzentrationsstörungen berichtete,2,0.3,
jahren borreliose gehabt,2,0.3,
berichtete borreliose schubartigen,2,0.3,
borreliose gehabt,2,0.3,drei Jahren eine Borreliose gehabt habe und sich seither schlapp und in der Arbeitsfähigkeit eingeschränkt fühle. | 3 Jahren eine Borreliose gehabt und fühle sich seither schlapp und in der Arbeitsfähig eingeschränkt.
jahren borreliose,2,0.3,
