term,document_count,percent
appetit,591,99.8
vesikuläres,590,99.7
zunge,590,99.7
kopf,590,99.7
reine,589,99.5
herzaktionen,589,99.5
strömungsgeräusch,589,99.5
rhythmische,588,99.3
rhythmische herzaktionen,588,99.3
reine rhythmische,588,99.3
risikofaktoren,588,99.3
augen,587,99.2
körperlicher,587,99.2
regelrecht,586,99.0
abdomen,586,99.0
vier,585,98.8
weich,585,98.8
mundtrockenheit,585,98.8
kinderkrankheiten,585,98.8
quadranten,584,98.6
lebhaft,584,98.6
besonderheiten,584,98.6
darmgeräusche,584,98.6
vier quadranten,584,98.6
loslassschmerz,584,98.6
kinderkrankheiten besonderheiten,584,98.6
quadranten lebhaft,584,98.6
darmgeräusche vier,584,98.6
übliche,582,98.3
übliche kinderkrankheiten,582,98.3
defizit,582,98.3
unauffällig,582,98.3
vesikuläres reine,582,98.3
auskultierbar,581,98.1
lebhaft auskultierbar,581,98.1
sinne,581,98.1
sinne parese,580,98.0
parese,580,98.0
schwitzen,580,98.0
defizit sinne,580,98.0
tagestrinkmenge,579,97.8
energieniveau,579,97.8
arbeitsfähigkeit,577,97.5
kardiovaskuläre,575,97.1
kardiovaskuläre risikofaktoren,575,97.1
nierenlager,573,96.8
nachtschweiß,572,96.6
pulse,571,96.5
temperaturtoleranz,570,96.3
beschwerden,568,95.9
somatische,567,95.8
leber,567,95.8
parese zunge,567,95.8
milz,566,95.6
alkoholkonsum,565,95.4
miktion,564,95.3
druck,564,95.3
schilddrüse,564,95.3
vergrößert,563,95.1
leber milz,562,94.9
druck loslassschmerz,562,94.9
milz vergrößert,562,94.9
vergrößerte,561,94.8
vergrößerte schilddrüse,560,94.6
kopf vergrößerte,559,94.4
loslassschmerz darmgeräusche,557,94.1
auskultierbar leber,556,93.9
klopfdolent,555,93.8
abdomen weich,553,93.4
schleimhäute,551,93.1
liter,550,92.9
normal,550,92.9
haut,546,92.2
hals,545,92.1
beschwerden somatisch,544,91.9
somatisch,544,91.9
unauffällig kopf,543,91.7
schleimhäute unauffällig,543,91.7
mundhöhle,543,91.7
mundhöhle hals,543,91.7
wirbelsäule,539,91.0
rachen,537,90.7
pulmo vesikuläres,537,90.7
pulmo,537,90.7
rachen schleimhäute,536,90.5
nebengeräusche,536,90.5
hals rachen,536,90.5
wirbelsäule klopfdolent,534,90.2
mundtrockenheit miktion,532,89.9
tagestrinkmenge liter,529,89.4
nebengeräusche abdomen,528,89.2
jahren,527,89.0
ödeme,526,88.9
peripheren,524,88.5
nachtschweiß temperaturtoleranz,524,88.5
peripheren ödeme,523,88.3
schilddrüse strömungsgeräusch,522,88.2
nierenlager wirbelsäule,515,87.0
pathologische,515,87.0
herzaktionen pathologische,515,87.0
pathologische nebengeräusche,515,87.0
gutem,501,84.6
aufenthalt,500,84.5
fußpulse,500,84.5
chinesisch,498,84.1
chinesisch beschwerden,498,84.1
somatisch chinesisch,498,84.1
palpabel,497,84.0
palpabel pulmo,495,83.6
klopfdolent peripheren,487,82.3
durchblutet,485,81.9
sichtbare,484,81.8
